"tweetid","username","tweet","created_at","place","location","classification"
"208","fermunation","I can not fucking believe that Disney World reopened today and it's even more fucking absurd that they have indoor designated mask-off areas, in the current 2nd biggest covid hotspot state. jesus.","2020-07-11 19:14:00",NULL,"San Francisco, CA","neutral"
"209","nuregakr","“When I have the opportunity, I want to perform the guitar live for my fans. Please expect that!” - Kim Taeyeon (Y-Star Live Power Music, 2nd May 2010)","2020-07-11 19:14:01",NULL,"Bandar Lampung, Indonesia","neutral"
"210","KrisGibson13","#BackTo60 #50sWomen
I think we had kind of worked this out for ourselves. All the more important to get #CEDAW
implemented
https://t.co/8oqcapKG96","2020-07-11 19:14:01",NULL,"Somerset UK","neutral"
"211","mariffferr","nah but people ACTUALLY do this. speaking from personal experience, sometimes i get sad when im out with people and i literally talk my own self out of it ???????????? it really works ????","2020-07-11 19:14:01",NULL,"somewhere doing better ","neutral"
"212","cathypower","Just before World Cup 1994 I got ticket to charity ball at which team and #jackcharlton were present. Our group rivals were Mexico, Norway &amp; US so tequila, bourbon and some kind of wicked schnapps flowed freely. A few shots in, I had the nerve to ask Jack for a dance.","2020-07-11 19:14:02",NULL,"Dublin's fair city","neutral"
"213","F1Cheerleader","????!!!!!! Wow! Lewis on pole over a second faster than everyone else! If you know me you’ll know I love watching them racing in the wet! If only it was a way race tomorrow #what #sexylap #LewisHamilton #StyrianGP #F1 #styriaGP #quali","2020-07-11 19:14:02",NULL,"London & Monaco","neutral"
"214","AuduCfc","I just hope you all will not stop blaming Kepa and focus on our defense. 

The absence of Gilmour and Kante was largely felt. 

Stop singing the praise of Jorginho #CFC #SHUCHE","2020-07-11 19:14:03",NULL,NULL,"neutral"
"215","tomIinspider","Hope everyone is doing ok! Just wanted to let you know that Syco Music and I have agreed to part ways. I'm really excited for the future and to be back in the studio writing the next album. Can't wait to finally see you all on tour!!
Stay safe and see you soon, Louis x","2020-07-11 19:14:03",NULL,"????????; she/her ⎊","neutral"
"216","allharrylxve","Hope everyone is doing ok! Just wanted to let you know that Syco Music and I have agreed to part ways. I'm really excited for the future and to be back in the studio writing the next album. Can't wait to finally see you all on tour!!
Stay safe and see you soon, Louis x","2020-07-11 19:14:03",NULL,"ot5 stan","neutral"
"217","TheBattPro","There are 25 movies represented in this photo...can you help me name them all?

I’ll start: The Shawshank Redemption (the lady poster on the wall) https://t.co/CfMp60DQp7","2020-07-11 19:14:04",NULL,"Reading, PA","neutral"
"218","LiLiBruhh","considering the circumstances.. I have everything I could ask for at the moment. I’m grateful and always impressed at what I can accomplish under pressure","2020-07-11 19:14:04",NULL,"Florida","neutral"
"219","Eduardoanaranjo","I busted my ass of this last term, and I was pretty frustrated and exhausted with all the work I was putting in. Spending my Friday and Saturday nights working on projects, learning new software and building my website. 

(Still working on my website)","2020-07-11 19:14:04",NULL,"Albuquerque, NM","neutral"
"220","OdiousFury","I write my characters to fit my feel of them, I don’t conform to the “norm” aka canonical stuff every single time and I ain’t gonna change for some children who don’t comprehend the word “Alternative Universe”","2020-07-11 19:14:04",NULL,"@ThisIsAudacious's poke-ball, Hardacious! Once Upon A Time Rampant","neutral"
"221","AkinlabiAfolab3","Lampard is killing himself and infact I don't care again
I off my TV since first half
Tammy should not try to come to Nigeria
He is good for England and I will endure till end of the season for him to go on loan again","2020-07-11 19:14:05",NULL,"Ibadan, Nigeria","neutral"
"222","MarieBista","LIVE atm on Etsy, before they take it down. The more people look at things LIVE, it makes it scarily believable and real. If you can justify the prices of these “art” pieces from a “Plurivalence”, I am open to discussion. #humantrafficking 
https://t.co/2DndvPkNpa","2020-07-11 19:14:06",NULL,NULL,"neutral"
"223","BollywoodSkele","SSR fans Reshma Shetty is in fact shitty. She is the one who is responsible for giving Salman a CLEAN IMAGE despite his crimes. She has been supportng a criminal. We cant trust her statements. She can do anythng for money. She is a completely unethical woman.
#27DaysWhyNoCBI4SSR","2020-07-11 19:14:06",NULL,NULL,"neutral"
"224","ideasmithy","I still want an answer because this person showed up on my TL again and it's kinda hard to ignore that when one is writing poetry.","2020-07-11 19:14:06",NULL,"Mumbai, India","neutral"
"225","SliceofMaggpie","I saw this tweet and remembered these were the shirts I saw on Pinterest that inspired my OC, Charlie’s final design and I’m honestly starting to regret not keeping the puffy sleeves https://t.co/4Vem7SEFz4","2020-07-11 19:14:06",NULL,"Laying face-down in the grass","neutral"
"226","eocm0829","I just watched Square One on Amazon Prime and all I can say is wow. I can’t believe how much influence the media has in shaping our opinions. I honestly regret all the mean things I’ve said and thought about Michael Jackson.","2020-07-11 19:14:06",NULL,"Lancaster, PA","neutral"
"227","montoya_iniga","Thank you Instagram for checking the information regarding #wayfair Gives me peace of mind... I guess the 9'999$ pillows were industrial as well? #SaveTheChildrenWorldWide #QAnons #qarmy https://t.co/SXqTpWFf26","2020-07-11 19:14:06",NULL,"Planet Earth","neutral"
"228","stanley_ingles","The Campaign Trail
Weekend Edition - Please?

It is important.  It is the only way the job can get done. 

It is respect and gentility. Mulan, 1998 and I could kiss you Michael Eisner, Mulan 1998 accomplished that.  In such a great way.","2020-07-11 19:14:06",NULL,"Los Angeles, CA","neutral"
"229","HerePresently","Dumber than a box of rocks. Susan Collins on how Trump has learned his lesson. Nice  job Senator in covering and empowering Trump. https://t.co/A9IxrIpFf9","2020-07-11 19:14:07",NULL,"Washington, DC","neutral"
"230","MeerkatSceptre","imagine something where if lifeline revived in gibratars bubble then it added some cool effect to you. or if both bloodhound and crypto were to scan you then it pinned you on the mini map for the rest of the team to see even after the scan wore off. more unique team comps :o","2020-07-11 19:14:08",NULL,"Playing Titanfall 2 and Apex","neutral"
"231","MuhammadAffran2","Hi all, I'm inviting you all to join RewardDollars, a site that lets you earn money with social media. I just earned $325 and you can too! Sign up today for a $25 bonus! https://t.co/L9RgPEVVPY #rewarddollars #makemoneyfromhome #stayathome","2020-07-11 19:14:08",NULL,NULL,"neutral"
"232","louxsunflwr","LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
LOUIS IS FREE
#ProudOfLouis 
LOUIS TOMLINSON
#LouisIsFree
#StreamWalls
LT2 IS COMING
I LOVE YOU SO","2020-07-11 19:14:08",NULL,"???????????????????????????????? ???????????????? ????","neutral"
"233","vanillaandzag","I’m selling my loft! And it comes with secure parking in a garage. Super walkable location. Tons of architectural details like exposed beams, exposed brick and original maple floors. To see more photos &amp; the video… https://t.co/LQGAZT0MHi","2020-07-11 19:14:09","United States","Philadelphia","neutral"
"234","_Doot__","imma need some new voices for away from home soon cause im almost done the script

so MUTUALS ONLY (WE FOLLOW EACH OTHER) BE PREPARED FOR WHEN I MIGHT TWEET THAT I NEED SOME VOICES LOL","2020-07-11 19:14:09",NULL,NULL,"neutral"
"235","____Kollin","Ppl are too old to not know what an opinion is.

“I’m not attracted to Jill Scott” is an opinion.

“Ppl are really attracted to Jill Scott!?” Is a question insinuating that there’s something wrong or taboo about being attracted to women like her.","2020-07-11 19:14:10","United States",NULL,"neutral"
"236","_emily_acnh_","Another riveting day in my life:

Thinkin bout gettin a tumble dryer, but the only real benefit I can think of would be no more crispy af towels on the washing line????","2020-07-11 19:14:10",NULL,NULL,"neutral"
"237","BabyFaceCheech","Women aint shit, I love em but they aint shit....
Sometimes they deserve stuff but rarely does that ever occur.... 
be nicer to women sometimes, even tho they aint shit. 

Wats my message? (From your perspective)","2020-07-11 19:14:11",NULL,"SHENANIGANISTAN™ (LA/BK)","neutral"
"238","EbooksYang","Everybody has to display a certain loyalty towards their paycheck. I was the same way. Anything that hasn't existed since the genesis of the universe needn't survive until the end.","2020-07-11 19:14:12",NULL,"Fortress Iserlohn","neutral"
"239","gonbechyan","LOOK AT NYUI LEAVING LITTLE DIRTY FOOT PRINTS. AND HAGI HAVING THE TIME OF HIS LIFE GETTING ALL TANGLED IN YUME'S HAIR. AND TSUGI STEALING SOME OF YUME'S PARFAIT THEY'RE SO CUTE I LOVE THEM","2020-07-11 19:14:12",NULL,"Neo Venus Ark","neutral"
"240","Bmwillz1","Lemme get this straight. I can be a shitty person attached to a shitty party and occasionally break away from the company line and get praised as the second coming? Sign me up!","2020-07-11 19:14:12",NULL,"New Jersey ???? North Carolina ","neutral"
"241","demonicize","⠀⠀⠀⠀

♥︎

Let’s start off with the basics first. Your smile is addicting. Everytime I see it, I can’t help but get a rush of happiness, and find myself smiling along with you. Your smile could brighten anyone’s day. Don’t get me started on your laugh.

⠀⠀⠀⠀","2020-07-11 19:14:12",NULL,"???? 20.","neutral"
"242","_Yolimo","Very bad not only because not all households have the same level of technology access but i can see a lot of close minded teaching and misinformation being passed on. For example everyone talking about all this 5G BS that “links” to corona.","2020-07-11 19:14:13",NULL,"Baltimore, MD","neutral"
"244","vikashkgupta01","Barcelona fan expectation v/s 
Barcelona aaukat this season....

Back in my days I used to watch football to escape depression. Nowadays I watch 
Fc Barcelona play and get depress even more, the way they're playing is pathetic.! https://t.co/fiwRlJgagF","2020-07-11 19:14:13",NULL,"Bodhgaya","neutral"
"245","nhudadilah","Writing my late night thoughts #1;
So have u ever encountered a message where someone sent you a random survey asking if u could fill it in? So, usually I would ignore it and continue doing what I usually do. But I just realised something.","2020-07-11 19:14:14",NULL,NULL,"neutral"
"246","Riz_F1","...and NO my last tweet wasn’t directed at my fav on here, it’s directed at 3 DM’s I received advising me that I’m irresponsible etc etc","2020-07-11 19:14:15","South Africa","Sandton, South Africa","neutral"
"247","knb_memes","#kurokonobasket #kurokonobasuke #memes #黒子のバスケ
kise: i washed my hair with toothpaste. sometimes i think that i’m an idiot.
midorima: all right. i always do it.
kise: midorima-chi? do you wash your hair with toothpaste too?
midorima: nope. i always think that you are idiot. https://t.co/3VSVys2oc1","2020-07-11 19:14:16",NULL,NULL,"neutral"
"248","tatish_bieber","in conclusion: i didn’t say i miss my long hair after getting a short haircut cause i loveeee it https://t.co/hnj5Auifc4","2020-07-11 19:14:16",NULL,"Johore, Malaysia","neutral"
"249","___manimalynn","Everytime I’m sitting around doing nothing I can’t believe I actually have nothing to do. Like I feel like it’s something I’m forgetting to do and my anxiety goes through the roof","2020-07-11 19:14:17",NULL,"Somewhere Eating","neutral"
"250","iammrmeehan","Great points raised by David Lat here. It is indeed a long winding road back from Covid. I feel fortunate for my progress so far and I never take it for granted. But I don’t know when I will be able to confidently say “I’m recovered.”","2020-07-11 19:14:17","United States","Manhattan, NY","neutral"
"251","MimiTheMilf","I wanted to beat me face since I was being induced but I started having real bad contractions before my appointment and couldn’t do it ????","2020-07-11 19:14:18",NULL,"Valdosta ✈️ Atlanta","neutral"
"252","StillFearlessxx","I just can't wait to see Louis smiling and laughing again and just being himself doing what he love to do and enjoying his life ????♥
#ProudOfLouis","2020-07-11 19:14:18",NULL,"tracksuit twitter","neutral"
"253","__youchoosebee","It’s 97 degrees right? I just ordered a sweet tea &amp; this nigga really needed to ask me if I wanted ice in it???? like nah, boil the shit &amp; put it in a cup while you at it ????","2020-07-11 19:14:18",NULL,NULL,"neutral"
"254","Brown7Butch","I have learned thru insight some of the people who hate you most love you even harder when you get close to them. You might have an ability they don't and hate you for it. Common Grounds work sometime but it's complicated. The human mind &amp; emotions ????","2020-07-11 19:14:19",NULL,"New York, USA","neutral"
"255","iamback69","I am so damn fucking ready for Satan and his demons to take over my mind, body, soul, and anything else they fucking want to take over! Hail Satan and his demons forever!","2020-07-11 19:14:20",NULL,NULL,"neutral"
"256","autumnkeyss","i'm looking for a condescending consensual consummation contingent upon coercive constituents completing conscionable considerations for corporal cooperation completely coveting coronavirus co-payments corresponding with corrosive compartmentalized consciousness","2020-07-11 19:14:20",NULL,"Longmont, CO","neutral"
"257","28lbs","why WHY is he so cute how is he so cute i just wanna hug him he’s so so precious i hope he’s always happy he’s too good for this world","2020-07-11 19:14:21",NULL,"18 she/her | tw edvent (+kpop)","neutral"
"258","iamrealearl","I have complete books of HP on my phone, it has been a long time since I had browsed it and 'till now I haven't finished reading any of those books. 'coz ghorl every time I started reading, I easily get drowsy 'till I drop myself on the bed and sleep +++","2020-07-11 19:14:21",NULL,"Calamba City, Calabarzon","neutral"
"259","isaaaMurillo","if a guy actually “likes/loves” you he will do these things and if he doesn’t he probably just DOESNT care enough so leave him or get over it. Know what y’all deserve and don’t settle for less ????✌???? just saying..","2020-07-11 19:14:21",NULL,"Back on the sidewalk ","neutral"
"260","paulgallojr","I recommend Liker, the SMARTER social network everyone is talking about.. On Liker, likes actually matter and you are in total control of your news feeds. No more scrolling past posts you don’t care about. Join us today!  https://t.co/a36lHljKzT","2020-07-11 19:14:22",NULL,"Lake Placid, NY","neutral"
"261","_diorwuxian","???? 34
— uhm hi!! i dont see you that much on my tl but i hope we can interact more!! kuroko no basuke is a good one, it's also one of my faves &lt;33 stay safe luv!!","2020-07-11 19:14:23",NULL,"???????? | the neighbourhood","neutral"
"262","QuesoLarry","Next time any 1 against kneeling for the flag sees a homeless vet, I encourage you to tell them the system is fine and assure them you stand for the flag every time. Or you can also kneel for veterans who are forgotten and disrespected by the same corruption. #SaturdayThoughts","2020-07-11 19:14:24",NULL,NULL,"neutral"
"263","squashpants","KitKat, well said.

This is another annoying leftist trying to spoil the party.

So what if his stats happen to be right.

I am NOT jealous of rich people. I am fine with them. I don't need to have buckets of money. I have all I need and am happy.

With Leftists and Marxists,","2020-07-11 19:14:25",NULL,"Northfield, Minnesota","neutral"
"264","MonoxideMoima","Tbh was het eig echt moeilijk om op te groeien als en darkskinned, Muslim woman, I’ve been thru some shit and I am not where I want to be yet man","2020-07-11 19:14:25",NULL,NULL,"neutral"
"265","JustShannn","Now that I’ve processed it I can speak on it. Yesterday I was informed that I have a diagnosis of PTSD and was diagnosed at 12 years old 

I don’t ever remember being diagnosed but it makes sense if you see how guarded I am in public spaces or around groups of men.","2020-07-11 19:14:26",NULL,"Readings ????: CLOSED","neutral"
"266","Ray_LDN_","She wasn't even top 5 in the group fam I could of had a top 3 but because I'm a dickhead I went with one that wasn't even top 5 smh, I'm probably going to get a message saying ""delete these tweets"" ????","2020-07-11 19:14:27",NULL,"London, England","neutral"
"267","KingsJinsoo","I just got through my first ever hour long kdrama episode without the eng subtitles. I survived and I understood the dialogues in their usual pace. I feel accomplished...maybe I should start learning Japanese now too. ????","2020-07-11 19:14:27",NULL," Philippines","neutral"
"268","cassvnzel","i tried getting into idv but the intro was so long and b*ring i stopped half way ........ just throw me in a game and let me figure it out like dbd does please","2020-07-11 19:14:27",NULL,"pfp ky-jane","neutral"
"269","Mayberrykush","Now why would I do such a foul thing and take back quality tendies, I had 8 of em you was atleast gonna get two of em smh","2020-07-11 19:14:27","United States","Boston, MA","neutral"
"270","maikano_","There is this lie I don't do in relationship and I don't say it
1. I can't live without you 
2. I can't imagine how my life will be       without you
3. I will love you forever.
Who else doesn't say this???","2020-07-11 19:14:27",NULL,"Kano, Nigeria","neutral"
"271","ntmoore","The line that got me was the ""schools possibly could start building more advanced online courses that do yield serious efficiencies.""  I have seen no such unicorn in the wild since MOOC's died a few years ago.","2020-07-11 19:14:27",NULL,"44th lat & Mississippi ","neutral"
"272","RossFootball","Just remembered the time #JackCharlton combined the Irish &amp; #Boro connections. Princess Alice on Newport Road was converted into an Irish theme pub &amp; Big Jack did the official opening. I think the takings that night equalled the rest of the year there were so many there","2020-07-11 19:14:28",NULL,NULL,"neutral"
"273","AuntieKIMfrVine","I said years ago on YouTube that that “open marriage” bullshit don’t work back when low self esteem ass Monique was trying to sell us that mess. I may have to do an updated video in light of recent events. https://t.co/6uXbbjH4zY","2020-07-11 19:14:28",NULL,"Mobile, Alabama","neutral"
"274","sieerrraaaah","Why do people think they should always have to choose between family and their political stand? Friends, you can still love people even if you do not agree with them. You don't have to choose.","2020-07-11 19:14:28",NULL,NULL,"neutral"
"275","pierro_cino","My team won 3-0 against Sheffield 
Sheffield won 3-0 against a team my team beat 3 times...

Personally, I feel the “3” on their jersey is working against them ????????????????????

#SHUCHE","2020-07-11 19:14:28",NULL,NULL,"neutral"
"276","Sheeraz037","I saw this on the Sun app and thought you'd be interested

Food factory workers ‘going into work sick and refusing to take coronavirus tests’ over pay fears

https://t.co/04T41hjDMr","2020-07-11 19:14:28",NULL,NULL,"neutral"
"277","HoneySelfish","This depends on my mood tbh, like sometimes I'll eat just a bunch of cheerios dry but sometimes I NEED milk (I use almond milk though so maybe it's different)","2020-07-11 19:14:29",NULL,"17 | Sub | Girl | Taken","neutral"
"278","vrself","Typically, I would be making a visit to Kenilworth Aquatic Gardens around this time of year to photograph the Lotus blossoms.  However, I’m not in DC this year so I have to process old images.  This one was taken in July 2017. 

#Kenil… https://t.co/t8R0bSYRY9 https://t.co/kwY6wpZQ7d","2020-07-11 19:14:29",NULL,"Arlington, VA","neutral"
"279","sortanicewithit","i mean like yes i agree but also i mean like this has been what the White House was all about ever since we were dragged into WWI by our fascist statesmen so take it with a grain of salt","2020-07-11 19:14:29",NULL,"Pyongyang 632 731","neutral"
"280","myPAbox","I’m Nicole from Brooklyn NY, a new PA-C intending to specialize in my one and only favorite specialty, Women’s Health. I’ve always had a passion to empower women into their health and decision making! 

It was… https://t.co/lkPk3hY2GS","2020-07-11 19:14:30",NULL,NULL,"neutral"
"281","lesbeankoku","I’m a photo major and I hate when people don’t know how to edit pictures of darker skinned people without lightening the crap outta their skin. Dark photos of darker skinned people aren’t bad photos","2020-07-11 19:14:30",NULL,"19||they/she|| lesbian ","neutral"
"282","innerughchild","i- wait wait waiT first i am NOT intimidating i promise ???? second of all i would never indirect you bc as far as i can remember you havent done anything to piss me off ???? but thank you :(","2020-07-11 19:14:30",NULL,"he/him | 18 | avery","neutral"
"283","AshleeDanceMoms","Never worn a mask.  No one has ever asked me to put one on either.  Seen other people take their masks off when they see me without one.  Be brave.  Stand up.  Don’t be a follower.","2020-07-11 19:14:31",NULL,"Raleigh, NC","neutral"
"284","lkingsley7","Good to see not much has changed. ????????‍♀️Found this gem while cleaning. The Universe must have known I’m character studying. Next stop... ????????‍♀️????????✨ lessssss gooooooooo????????????????????????
.
.
.
.
#Witches #Film #Tv #Writer… https://t.co/SLFJrWAcZI","2020-07-11 19:14:31",NULL,"los angeles ca","neutral"
"285","kizuowen","ARE YOU KIDDING ME MY MOM SAW THE MINION YA0I MEME WHEN SHE GOT INTO MY ROOM AND SHE ASKED ME ""IS THAT MINION P0RN"" I HAD TO EXPLAIN HER SOMEONE SENT IT TO ME","2020-07-11 19:14:31",NULL,"北 + 中央 ♡ Die + Hesperide","neutral"
"286","DonELichterman","Now playing at Live Jam 107 is I'm Gonna DJ by R.E.M....Listen Now at https://t.co/bEF8ltzEhf, and visit the web site (https//LiveJam107.com)...","2020-07-11 19:14:32",NULL,"New York, USA/New Jersey, USA","neutral"
"287","paulineklane","So proud to have served on boards across the years with Zoe, wish her the very best of luck, I have no doubt she will do an outstanding job!","2020-07-11 19:14:32",NULL,NULL,"neutral"
"288","ShinRasRufus","With the party flowing and people having a good time, now was the time to make yet another announcement: 
Stepping up on the stage, the music died and he stood behind the microphone once more. 

“May I have everyone’s attention for just one moment?” 

#TheFairyTaleBall","2020-07-11 19:14:33",NULL,"Midgar","neutral"
"289","JoeD15446588","#MasksOnOhio as the note I saw from a Canadian yesterday said.  They are glad the border is closed. People think they have a right to die.  Guess they have a right to do whatever they want until it endangers or hurts other people","2020-07-11 19:14:33",NULL,NULL,"neutral"
"290","dokyeomes","i will stop being annoying soon (no i won’t) but i keep remembering little bits and crying to myself i genuinely like. i knew he was the nicest person ever but god he’s so Good!!!","2020-07-11 19:14:33",NULL,"18+ / svtwayv ","neutral"
"291","akame2304","it has been a decade already. i still can remember clearly how the match was so even, even at stoppage time, still Señor Andres made that historical kick that put España on the pages of World Cup history. it was so frickin' epic! ⚽️????????????","2020-07-11 19:14:33",NULL,"JE Land ⓧⓐⓝⓓⓔⓡⓛⓐⓝⓓ","neutral"
"292","StAlun","I know there's a faction of comedians who *talk about me*.  I can name five people right now who'll be reading this thread in screenshot form (hello, you lot).  I've blocked them all.  It doesn't matter.  I can't hide anything from them.  They know everything about me.","2020-07-11 19:14:33",NULL,"Swansea","neutral"
"293","melvinmtg","Me: I have two scripts ready to record and I literally just told someone what I would do for the next one.

Also me: What if I pushed them both back to talk about the successes and failures of Zendikar tho??","2020-07-11 19:14:33",NULL,NULL,"neutral"
"294","child_of_adonai","When Jada said “I just wanted to feel good, it had been such a long time since I felt good” will really looks like he’s gonna cry https://t.co/975QsonYAf","2020-07-11 19:14:34",NULL,"in ur dreams x","neutral"
"295","AlezzTrading","Trade idea: HOTBTC: 4-8-5-10-7-12 sats is perfect Fibonacci: HOT is an asset I'm fundamentally bullish on. Something something scalable alternative to blockchain.. too smart for me to understand, but I know some talented traders did research on it, and… https://t.co/dih3v3ZymU https://t.co/reHK3EkK4a","2020-07-11 19:14:34",NULL,NULL,"neutral"
"296","BrianSinekhaya","Dubai is scared to loss all that they have work hard for America is afried to loss what they work hard for Asia is afried to loss what they work hard for China even worse I know how north Korea thinks like I know that you all scared to death lol","2020-07-11 19:14:34",NULL,"Kamhlushwa","neutral"
"297","BRAADC0RE","Theres just something about this video thats so nice to me
I think its the part where he's like, spinning towards the camera when the beat drops
https://t.co/P4xJxRbW9G","2020-07-11 19:14:34",NULL,"he/him","neutral"
"298","lifesafeast","It’s really terrible that anyone has this terrible deadly virus but I’m furious that those in decision-making positions of public trust betray the public and fail to protect them.","2020-07-11 19:14:35",NULL,"Chinon, France","neutral"
"299","SlickV11","I really believe gofundmes are supposed to be for special things like you need money for your trip to be in olympics, or for an expected funeral, a critical medical procedure, etc. your abortion not related to SA is not that, ask your boyfriend to pay for your abortion","2020-07-11 19:14:36",NULL,NULL,"neutral"
"300","ChidiOkolie","Why would anyone want gorillas killed, what vicious cruelty. They are already becoming extinct as it is. 

This is a hate tweet...on Gorillas.","2020-07-11 19:14:36",NULL,"Earth","neutral"
"301","HeyJKevin","Geez Alyssa I don’t know who this person is but her arguments aren’t too good. And regarding public education, who controls curricula? The educated class? The teachers (union)? How about you read Shelby Steele’s White Guilt. (I think that’s what it called)","2020-07-11 19:14:37",NULL,"Douglas, MI","neutral"
"302","helene_becca","This!!!!! I’m not allowed my pink hair when I qualify or when I’m on placement. I’ve litterally had to give up a part of my identity to become a nurse!!!","2020-07-11 19:14:38",NULL,NULL,"neutral"
"303","TokyoToxicity","Looking for a royal high account that is level 75 or up
I have an offer
#adoptmetrading #Adoptmetrade #adoptmeoffers #adoptmetradings #adoptme #adoptmegiveaways #Adoptmetrades #adoptmetrader #adoptmedeals #AdoptMePets #adoptmeoffer #adoptmetrading #Adoptmetrades","2020-07-11 19:14:39",NULL,NULL,"neutral"
"304","Melanee1114","So this guy wants me to let him know when we can chill but unfriended me like a dumbass lmfao don’t think I’m telling you now I blocked him anyways,try to message me again ????✌????","2020-07-11 19:14:39",NULL,"Chicago IL","neutral"
"305","intrntcrtr","i know i shouldnt be talking about people like this but it had to be done. this dude yall are seeing in the video claims to be 17. while he is NOT. tik tok is mostly targeted at younger people. so he is clearly thirst trapping young young people underage. open the thread https://t.co/0iJZg3EtQG","2020-07-11 19:14:39",NULL,"hell","neutral"
"306","adored_ash","how to deal w depreshun — idk im on zoloft and its helped a lil.. but i was mainly put on it to see if it helped my sleep seizures lol  https://t.co/G1rVCQjI5H","2020-07-11 19:14:39",NULL,"Los Angeles, CA","neutral"
"307","terezante","And I never played a fair game
I’ve always had the upper hand
But what good is intellect and airplay
If I can’t respect any man
Yeah, I want to play a fair game","2020-07-11 19:14:39",NULL,"São Luís, Brasil","neutral"
"308","Ivana_Knapp","I feel like there’s going to be a need for an emergency Act of Congress that installs the President Elect the day after election results are final.","2020-07-11 19:14:41",NULL,"Midwest","neutral"
"309","twobaskets","Just like trump he had lied do much you just can’t believe anything he says and we need a leader we can trust especially with what we are going through in America right now.","2020-07-11 19:14:42",NULL,"beautiful earth ","neutral"
"310","Celeste_pewter","I'm normally pretty polite if you meet in person. But I've just hit the point where I'm going to name and shame - particularly as our state is under a mandatory mask order. 

We've had a 97% increase in hospitalizations over here, and it's been frustrating watching this unfold.","2020-07-11 19:14:42",NULL,NULL,"neutral"
"311","paige_donlan","The fact that absolutely no one reacted like this when Universal opened a month ago is so gd annoying like Universal employees have been risking their lives for over a month and like what? Do we just not fucking matter?? I hate everyone","2020-07-11 19:14:42",NULL,NULL,"neutral"
"312","SupernaturalGe2","Last weekend, I was eating burgers with Jared Padalecki while kissing a changeling and playing with the first blade. After that, I got demonic powers, so Charlie Bradbury and I went trick-or-treating.","2020-07-11 19:14:42",NULL,NULL,"neutral"
"313","Gabyjyrwa_","THIS is why I am shopping for winter clothes rn. My parents have been looking at me weird whenever the packages come in but ANYWAYS","2020-07-11 19:14:43",NULL,"Ontario, Canada","neutral"
"314","junglejimmy12","Why do people care about Will Smith and Jadas personal lives so much, none of us know them ???? I guess humanity has laid out what it finds really important, celebrities sex lives&gt;improving their own lives","2020-07-11 19:14:43",NULL,NULL,"neutral"
"315","samar2kh","I remember how hurt my mom was when i wished that this other lady was my mom instead,,I was max 8??? The lady treated me nicely and my mom didn’t .... so","2020-07-11 19:14:43",NULL,"she/her","neutral"
"316","aliens1948","Wow, you are so right! It's painful to see how fucking illogical and stupid some people are! If breathing required one ounce of intelligence MAGAs would all be dead!","2020-07-11 19:14:44",NULL,"Elgin, IL","neutral"
"317","joellava","Thank gawd we have Republicans making the ads which Democrats are incapable of making.
I’m curious on their effectiveness across relevant demographics.","2020-07-11 19:14:44",NULL,"Los Angeles","neutral"
"318","EmilyKTheatre","Today I should be doing a double show day. Welcoming excited people into the theatre. Seeing the joy on their faces when they come to see ⚡️ Instead I’m at home wondering where the fuck I’m meant to find a job ???? I miss my job &amp; my friends so much!! ????","2020-07-11 19:14:45",NULL,NULL,"neutral"
"319","hrtbkniall","Hope everyone is doing ok! Just wanted to let you know that Syco Music and I have agreed to part ways. I'm really excited for the future and to be back in the studio writing the next album. Can't wait to finally see you all on tour!!
Stay safe and see you soon, Louis x","2020-07-11 19:14:45",NULL,"????????5|She/Her","neutral"
"320","hollyxhawthorne","I think men shouldn’t be allowed to have guitars at parties. bro what possessed you to bring that from your home and start playing it at a party where music is already playing","2020-07-11 19:14:45",NULL,NULL,"neutral"
"321","aleauderose","Thinking about when I was in high school and would never eat during the school day but right when I got home I would binge 2000 plus calories in 20 minutes","2020-07-11 19:14:46",NULL,NULL,"neutral"
"322","4tizorulez","A man who listens, not to reply but to understand. Who truly loves God and has people he honours and can take advice from. Can apologise and mean it. Sees me as I am, not as less. Shares deets and is honest.","2020-07-11 19:14:46",NULL,"Grace Zone","neutral"
"323","CEOofKaibaCorp","Hey if anybody wants a card list for #AFTERLIFE uhhh here you go https://t.co/fNlf2OCfKU
The wiki has them all by character but I like to have a list in order of release ☺️ Feel free to make a copy and track what you have!","2020-07-11 19:14:46",NULL,NULL,"neutral"
"324","Rodayo","I never knew how many spoiled brat, cry-baby Americans ????we had until #COVID19 came out. It disgusts me !????Whining, whining, whining instead of manning up and fighting #coronavirus  like real men and women ! SAD!! #MaskUp #SocialDistance STOP WHINING !! GHEEEE!!????","2020-07-11 19:14:48",NULL,"United States","neutral"
"325","hstcreature","Hope everyone is doing ok! Just wanted to let you know that Syco Music and I have agreed to part ways. I'm really excited for the future and to be back in the studio writing the next album. Can't wait to finally see you all on tour!!
Stay safe and see you soon, Louis x","2020-07-11 19:14:48",NULL,NULL,"neutral"
"326","oldboy___","Alright guys let’s have at it, 
Personally I’m rooting for masvidal 100% but usman is a machine and on an undefeated streak so I wouldn’t be a betting man on this fight, who do you have","2020-07-11 19:14:49",NULL,"Dis side ","neutral"
